,file,x1,y1,x2,y2,object
0,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_2255_BEUCCL_SYS001.png,88,378,107,403,meteor
1,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_2255_BEUCCL_SYS001.png,853,366,867,418,meteor
2,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_2255_BEUCCL_SYS001.png,745,318,761,428,meteor
3,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_2255_BEUCCL_SYS001.png,482,380,502,440,meteor
4,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_1140_BEUCCL_SYS001.png,225,340,233,402,meteor
5,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_1140_BEUCCL_SYS001.png,449,360,465,390,meteor
6,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_1140_BEUCCL_SYS001.png,640,339,656,364,meteor
7,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_1140_BEUCCL_SYS001.png,181,352,196,378,meteor
8,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_1140_BEUCCL_SYS001.png,240,62,252,125,meteor
9,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_1450_BEUCCL_SYS001.png,460,367,482,385,meteor
10,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_1450_BEUCCL_SYS001.png,279,295,291,363,meteor
11,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_1450_BEUCCL_SYS001.png,310,385,330,442,meteor
12,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0900_BEUCCL_SYS001.png,193,361,216,401,meteor
13,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0900_BEUCCL_SYS001.png,107,392,140,433,meteor
14,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0900_BEUCCL_SYS001.png,885,331,900,386,meteor
15,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0900_BEUCCL_SYS001.png,443,302,468,346,meteor
16,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0900_BEUCCL_SYS001.png,418,307,430,373,meteor
17,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0900_BEUCCL_SYS001.png,376,304,387,321,meteor
18,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0900_BEUCCL_SYS001.png,384,325,399,358,meteor
19,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0900_BEUCCL_SYS001.png,261,282,273,368,meteor
20,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0900_BEUCCL_SYS001.png,302,375,313,457,meteor
21,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0630_BEUCCL_SYS001.png,716,283,730,333,meteor
22,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0630_BEUCCL_SYS001.png,677,377,691,405,meteor
23,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0630_BEUCCL_SYS001.png,605,311,614,337,meteor
24,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0630_BEUCCL_SYS001.png,591,218,607,416,meteor
25,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0630_BEUCCL_SYS001.png,570,309,584,376,meteor
26,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0630_BEUCCL_SYS001.png,540,276,555,388,meteor
27,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0630_BEUCCL_SYS001.png,501,296,513,372,meteor
28,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0630_BEUCCL_SYS001.png,247,319,259,348,meteor
29,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0630_BEUCCL_SYS001.png,105,311,116,355,meteor
30,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0630_BEUCCL_SYS001.png,361,292,431,386,meteor
31,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0320_BEUCCL_SYS001.png,659,324,680,401,meteor
32,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0320_BEUCCL_SYS001.png,546,317,567,429,meteor
33,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0320_BEUCCL_SYS001.png,497,332,511,380,meteor
34,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0320_BEUCCL_SYS001.png,142,297,175,485,meteor
35,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0215_BEUCCL_SYS001.png,850,325,863,401,meteor
36,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0215_BEUCCL_SYS001.png,838,381,851,408,meteor
37,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0215_BEUCCL_SYS001.png,800,339,813,400,meteor
38,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0215_BEUCCL_SYS001.png,694,365,708,460,meteor
39,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0215_BEUCCL_SYS001.png,254,385,262,435,meteor
40,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0215_BEUCCL_SYS001.png,397,346,407,368,meteor
41,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0215_BEUCCL_SYS001.png,560,289,573,372,meteor
42,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0215_BEUCCL_SYS001.png,728,401,742,435,meteor
43,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0705_BEUCCL_SYS001.png,312,323,321,357,meteor
44,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0705_BEUCCL_SYS001.png,249,308,259,335,meteor
45,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0705_BEUCCL_SYS001.png,258,294,268,333,meteor
46,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0705_BEUCCL_SYS001.png,137,315,149,362,meteor
47,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0705_BEUCCL_SYS001.png,118,287,135,367,meteor
48,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0705_BEUCCL_SYS001.png,788,359,813,426,meteor
49,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0705_BEUCCL_SYS001.png,823,314,848,372,meteor
50,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0705_BEUCCL_SYS001.png,879,265,930,381,meteor
51,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0705_BEUCCL_SYS001.png,428,294,494,390,meteor
52,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0835_BEUCCL_SYS001.png,65,304,101,377,meteor
53,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0835_BEUCCL_SYS001.png,214,282,227,448,meteor
54,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0835_BEUCCL_SYS001.png,886,308,903,380,meteor
55,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0835_BEUCCL_SYS001.png,556,305,571,394,meteor
56,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0835_BEUCCL_SYS001.png,463,314,478,395,meteor
57,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0835_BEUCCL_SYS001.png,367,249,385,302,meteor
58,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0620_BEUCCL_SYS001.png,132,318,143,412,meteor
59,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0620_BEUCCL_SYS001.png,144,338,151,352,meteor
60,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0620_BEUCCL_SYS001.png,820,318,835,378,meteor
61,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0620_BEUCCL_SYS001.png,731,304,744,377,meteor
62,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0620_BEUCCL_SYS001.png,582,323,596,361,meteor
63,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0620_BEUCCL_SYS001.png,673,373,689,410,meteor
64,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0620_BEUCCL_SYS001.png,423,320,435,395,meteor
65,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0620_BEUCCL_SYS001.png,105,299,117,347,meteor
66,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0620_BEUCCL_SYS001.png,116,190,128,356,meteor
67,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0330_BEUCCL_SYS001.png,834,278,853,397,meteor
68,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0330_BEUCCL_SYS001.png,723,348,738,416,meteor
69,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0330_BEUCCL_SYS001.png,713,336,725,421,meteor
70,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0330_BEUCCL_SYS001.png,640,366,653,389,meteor
71,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0330_BEUCCL_SYS001.png,649,344,663,420,meteor
72,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0330_BEUCCL_SYS001.png,519,361,534,411,meteor
73,/Users/kirinpatel/github/autoRMZ/dataset/images/RAD_BEDOUR_20111007_0330_BEUCCL_SYS001.png,490,318,507,363,meteor
